music_title,artist,youtube_title,link
스티커 사진,21학번,[MV] 21univ.(21학번) - Sticker picture(스티커 사진),https://youtube.com/watch?v=85ryqI84DGA&pp=ygUl7Iqk7Yuw7LukIOyCrOynhCAyMe2VmeuyiCBvZmZpY2lhbCBNVg%3D%3D
"기다린 만큼, 더",검정치마,"[또 오해영 OST Part 7] 검정치마 - 기다린 만큼, 더 MV",https://youtube.com/watch?v=uG2se-8-BzE&pp=ygUu6riw64uk66awIOunjO2BvCwg642UIOqygOygley5mOuniCBvZmZpY2lhbCBNVg%3D%3D
나무,카더가든,"[MV] Car, the garden(카더가든) _ Tree(나무)",https://youtube.com/watch?v=cHkDZ1ekB9U&pp=ygUf64KY66y0IOy5tOuNlOqwgOuToCBvZmZpY2lhbCBNVg%3D%3D
혼자 술 마시지 말고,송하예,송하예 Ha Yea Song - 혼자 술 마시지 말고 Last Request Official M/V,https://youtube.com/watch?v=z5B1cTvdhwQ&pp=ygUx7Zi87J6QIOyIoCDrp4jsi5zsp4Ag66eQ6rOgIOyGoe2VmOyYiCBvZmZpY2lhbCBNVg%3D%3D
우연히 봄,로꼬,"[MV] 로꼬, 유주(여자친구) _ 우연히 봄(Spring Is Gone by chance) (Girl Who Sees Smell(냄새를 보는 소녀) OST Part.2)",https://youtube.com/watch?v=GjyMuHmzxVE&pp=ygUg7Jqw7Jew7Z6IIOu0hCDroZzqvKwgb2ZmaWNpYWwgTVY%3D
봄 사랑 벚꽃 말고,HIGH4 (하이포),"[MV] HIGH4, IU(하이포, 아이유) _ Not Spring, Love, or Cherry Blossoms(봄,사랑,벚꽃 말고)",https://youtube.com/watch?v=ouR4nn1G9r4&pp=ygU267SEIOyCrOuekSDrsprqvYMg66eQ6rOgIEhJR0g0ICjtlZjsnbTtj6wpIG9mZmljaWFsIE1W
있잖아,폴킴,[MV] Paul Kim(폴킴) _ Hey(있잖아) (Loveplaylist2(연애플레이리스트2) OST Part.2),https://youtube.com/watch?v=zGxrUFshTyI&pp=ygUc7J6I7J6W7JWEIO2PtO2CtCBvZmZpY2lhbCBNVg%3D%3D
네가 보고 싶은 건 자연스러운 거겠지,신예영,[M/V] 신예영(Sin Ye Young) - 네가 보고 싶은 건 자연스러운 거겠지 OFFICIAL M/V,https://youtube.com/watch?v=bZ4Qc5Qbfcg&pp=ygVI64Sk6rCAIOuztOqzoCDsi7bsnYAg6rG0IOyekOyXsOyKpOufrOyatCDqsbDqsqDsp4Ag7Iug7JiI7JiBIG9mZmljaWFsIE1W
야생화,박효신,박효신(Park Hyo Shin) - 야생화(Wild Flower) Special Video,https://youtube.com/watch?v=OxgiiyLp5pk&pp=ygUf7JW87IOd7ZmUIOuwle2aqOyLoCBvZmZpY2lhbCBNVg%3D%3D
저녁 하늘,에일리(Ailee),Ailee(에일리) _ Evening sky(저녁 하늘) MV,https://youtube.com/watch?v=8WqEp8nbgPg&pp=ygUq7KCA64WBIO2VmOuKmCDsl5DsnbzrpqwoQWlsZWUpIG9mZmljaWFsIE1W
그때 그 아인,김필,[MV] 김필 - '그때 그 아인' ＜이태원 클라쓰(Itaewon class)＞ OST Part.6♪,https://youtube.com/watch?v=mAjsF4UTg8g&pp=ygUk6re465WMIOq3uCDslYTsnbgg6rmA7ZWEIG9mZmljaWFsIE1W
결국엔 너에게 닿아서,WSG워너비 (가야G),[MV] WSG워너비 (가야G) (WSG WANNABE (GAYA-G)) - 결국엔 너에게 닿아서 (To You),https://youtube.com/watch?v=SPbPYQ8aTPc&pp=ygVA6rKw6rWt7JeUIOuEiOyXkOqyjCDri7_slYTshJwgV1NH7JuM64SI67mEICjqsIDslbxHKSBvZmZpY2lhbCBNVg%3D%3D
...사랑했잖아...,린,린(LYN) - ...사랑했잖아...,https://youtube.com/watch?v=Z9mDJoQxOrg&pp=ygUlLi4u7IKs656R7ZaI7J6W7JWELi4uIOumsCBvZmZpY2lhbCBNVg%3D%3D
사랑했었다 (Still love you),이홍기 (FT아일랜드),"이홍기,유회승 - 사랑했었다 (Still love you) MUSIC VIDEO",https://youtube.com/watch?v=50TvhCxOyIc&pp=ygVH7IKs656R7ZaI7JeI64ukIChTdGlsbCBsb3ZlIHlvdSkg7J207ZmN6riwIChGVOyVhOydvOuenOuTnCkgb2ZmaWNpYWwgTVY%3D
끝,권진아,[MV] Kwon Jin Ah(권진아) _ The End(끝),https://youtube.com/watch?v=fWurboCOJOc&pp=ygUZ64GdIOq2jOynhOyVhCBvZmZpY2lhbCBNVg%3D%3D
우리 왜 헤어져야 해,신예영,[MV] Sin Ye Young(신예영) _ why break up?(우리 왜 헤어져야 해),https://youtube.com/watch?v=75p4jyMXOKc&pp=ygUx7Jqw66asIOyZnCDtl6TslrTsoLjslbwg7ZW0IOyLoOyYiOyYgSBvZmZpY2lhbCBNVg%3D%3D
나를 사랑했던 사람아,허각,[MV] 허각(HuhGak) _ 나를 사랑했던 사람아(The Person Who Once Loved Me),https://youtube.com/watch?v=0NBmnq-uG_g&pp=ygUw64KY66W8IOyCrOueke2WiOuNmCDsgqzrnozslYQg7ZeI6rCBIG9mZmljaWFsIE1W
Say Yes,로꼬,"[달의 연인 - 보보경심 려 OST Part 2] 로꼬, 펀치 (Loco, Punch) - Say Yes MV",https://youtube.com/watch?v=6GC8JF2FOgA&pp=ygUaU2F5IFllcyDroZzqvKwgb2ZmaWNpYWwgTVY%3D
사계 (Four Seasons),태연 (TAEYEON),TAEYEON 태연 '사계 (Four Seasons)' MV,https://youtube.com/watch?v=4HG_CJzyX6A&pp=ygUy7IKs6rOEIChGb3VyIFNlYXNvbnMpIO2DnOyXsCAoVEFFWUVPTikgb2ZmaWNpYWwgTVY%3D
너에게 못했던 내 마지막 말은,다비치,다비치 (DAVICHI) - 너에게 못했던 내 마지막 말은 (Unspoken Words) MV,https://youtube.com/watch?v=84R5AS0tfkQ&pp=ygU-64SI7JeQ6rKMIOuqu-2WiOuNmCDrgrQg66eI7KeA66eJIOunkOydgCDri6TruYTsuZggb2ZmaWNpYWwgTVY%3D
사랑에 연습이 있었다면 (Prod. 2soo),임재현,[MV] Lim Jae Hyun(임재현) _ If there was practice in love(사랑에 연습이 있었다면) (Prod. 2soo),https://youtube.com/watch?v=kXAvbHPdTZ0&pp=ygVD7IKs656R7JeQIOyXsOyKteydtCDsnojsl4jri6TrqbQgKFByb2QuIDJzb28pIOyehOyerO2YhCBvZmZpY2lhbCBNVg%3D%3D
Heaven,HYNN (박혜원),[MV] HYNN(박혜원) _ Heaven,https://youtube.com/watch?v=sxqpfQzGDfI&pp=ygUjSGVhdmVuIEhZTk4gKOuwle2YnOybkCkgb2ZmaWNpYWwgTVY%3D
Beautiful,Crush,[도깨비 OST Part 4] 크러쉬 (Crush) - Beautiful MV (ENG Sub),https://youtube.com/watch?v=W0cs6ciCt_k&pp=ygUbQmVhdXRpZnVsIENydXNoIG9mZmljaWFsIE1W
광화문에서 (At Gwanghwamun),규현 (KYUHYUN),KYUHYUN 규현 '광화문에서 (At Gwanghwamun)' MV,https://youtube.com/watch?v=rUbq_IXBaYg&pp=ygU96rSR7ZmU66y47JeQ7IScIChBdCBHd2FuZ2h3YW11bikg6rec7ZiEIChLWVVIWVVOKSBvZmZpY2lhbCBNVg%3D%3D
안녕이라고 말하지마,다비치,Davichi (다비치) _ Don't say Goodbye(안녕이라고 말하지마) MV,https://youtube.com/watch?v=CuwRqIzkyOQ&pp=ygUy7JWI64WV7J2065286rOgIOunkO2VmOyngOuniCDri6TruYTsuZggb2ZmaWNpYWwgTVY%3D
이 새벽에 전화하는 건,황인욱,[MV] Hwang In Wook(황인욱) _ No Answer(이 새벽에 전화하는 건),https://youtube.com/watch?v=wFC39Qmct1c&pp=ygU07J20IOyDiOuyveyXkCDsoITtmZTtlZjripQg6rG0IO2ZqeyduOyasSBvZmZpY2lhbCBNVg%3D%3D
우리가 헤어져야 했던 이유,비비 (BIBI),[M/V] 비비(BIBI) - 우리가 헤어져야 했던 이유 :: 그 해 우리는(Our Beloved Summer) OST Part.2,https://youtube.com/watch?v=Jv23ekocjT4&pp=ygU-7Jqw66as6rCAIO2XpOyWtOyguOyVvCDtlojrjZgg7J207JygIOu5hOu5hCAoQklCSSkgb2ZmaWNpYWwgTVY%3D
이 사랑,다비치,[MV] DAVICHI(다비치) - This Love(이 사랑) l Descendants of the Sun 태양의 후예 OST,https://youtube.com/watch?v=XyzaMpAVm3s&pp=ygUg7J20IOyCrOuekSDri6TruYTsuZggb2ZmaWNpYWwgTVY%3D
듣고 싶을까,MSG워너비(M.O.M),MSG워너비 (MSG WANNABE) - 듣고 싶을까 (Do you want to hear) MV,https://youtube.com/watch?v=se4YnKDdxY4&pp=ygUw65Oj6rOgIOyLtuydhOq5jCBNU0fsm4zrhIjruYQoTS5PLk0pIG9mZmljaWFsIE1W
