가수,제목,발매일,장르,가사
윤성,나만의 그대모습,2023.05.06,록/메탈,흐르는 음악소리에살며시 잠든 그대의 모습하이얀 종이처럼희미한 너의 미소는이제 그만그대와 함께 나누던우리의 사랑 모두 다 사라지고시간이 흘러갔어도외로운 나의 마음을 보이긴 싫어어두운 거리에 홀로 선 느낌사라져 버린 나만의 그대 모습안개 속에 가려진희미한 너의 미소도이 밤이 지나면 이제는 잊고 싶어싸늘히 식어간 차가운 너의 모습도이 밤이 지나면이제는 그대를 이젠 잊고 싶어안개 속에 가려진희미한 너의 모습도시간이 흐르면 이제는 잊고 싶어이 밤 우 이 밤 우이 밤이 지나면차가운 너의 미소도워 워어허 워우예이 밤이 지나면 이제는이제는 그댈 잊고 싶어
이찬솔,Still Fighting It,2020.01.31,"록/메탈, 국내드라마",Good morning sonI am a birdWearing a brown polyester shirtYou want a CokeMaybe some friesThe roast beef combo'sonly nine ninety fiveBut it's okayYou don't have to payI've got all the changeEverybody knowsIt hurts to grow upAnd everybody doesSo weird to be back hereLet me tell you whatThe years go on andWe're still fighting itWe're still fighting itGood morning sonTwenty years from nowMaybe we'll both sit downAnd have a few beersAnd I can tellYou about todayAnd how I picked you upAnd everything changedIt was painSunny days and rainI knew you'd feel the same thingsEverybody knowsIt sucks to grow upAnd everybody doesSo weird to be back hereLet me tell you whatThe years go on andWe're still fighting itWe're still fighting itYou'll try and tryAnd one day you'll fly awayGood morning sonGood morning sonGood morning sonGood morning sonGood morning sonGood morning sonI am a birdGood morning sonGood morning sonGood morning sonGood morning sonIt was painSunny days and rainI knew you'd feel the same thingsEverybody knowsIt hurts to grow upAnd everybody doesSo weird to be back hereLet me tell you whatThe years go on andWe're still fighting itWe're still fighting it ohWe're still fighting itWe're still fighting itAnd you're so much like meI’m Sorry
기프트 (GIFT),기억을 걷는 시간,2021.07.07,록/메탈,아직도 너의 소리를 듣고아직도 너의 손길을 느껴오늘도 난 너의 흔적 안에 살았죠아직도 너의 모습이 보여아직도 너의 온기를 느껴오늘도 난 너의 시간 안에 살았죠길을 지나는어떤 낯선이의 모습속에도바람을 타고 쓸쓸히춤추는 저 낙엽위에도뺨을 스치는 어느 저녁의그 공기속에도내가 보고 듣고 느끼는모든 곳에 니가 있어그래 어떤가요그대 어떤가요 그댄당신도 나와 같나요어떤가요 그대지금도 난 너를 느끼죠 이렇게너를 부르는 지금 이순간도난 그대가 보여내일도 난 너를 보겠죠 내일도난 너를 듣겠죠 내일도모든게 오늘 하루와 같겠죠길을 지나는어떤 낯선이의 모습속에도바람을 타고 쓸쓸히춤추는 저 낙엽위에도뺨을 스치는 어느 저녁의그 공기속에도내가 보고 듣고 느끼는모든 곳에 니가 있어그래 어떤가요그대 어떤가요 그댄당신도 나와 같나요어떤가요 그대길가에 덩그라니 놓여진저 의자위에도물을 마시려 무심코집어든 유리잔 안에도나를 바라보기위해마주한 그 거울속에도귓가에 살며시내려앉은 음악속에도니가있어어떡하죠 이젠 어떡하죠 이젠그대는 지웠을텐데어떡하죠 이젠 우린랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라어떡하죠 이젠랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라라어떡하죠 이젠그리움의 문을 열고너의 기억이 날 찾아와자꾸 눈시울이 붉어져어떡하죠 이젠그리움의 문을 열고너의 기억이 날 찾아와자꾸만 가슴이 미어져어떡하죠 이젠그리움의 문을 열고너의 기억이 날 찾아와자꾸 눈시울이 붉어져어떡하죠 이젠그리움의 문을 열고너의 기억이 날 찾아와자꾸만 가슴이 미어져어떡하죠 이젠랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라랄라라 라랄라랄라
원위 (ONEWE),별 (STAR),2021.11.23,록/메탈,이대로 작은 문을 열면꿈꾸던 곳이 눈앞일까눈이 부시게 별이 가득한 밤너와 나 둘만 남게 될까수놓은 이 세상 속에비밀스러운 저 별 안에너와 가볼게길고 긴 밤이 새도록너의 눈을 맞춰 네 곁을 지킬게너에게 모든 걸 맡긴 채운명에 널 약속해우리 저 별 안에 도착할 때너를 찾아낼게오랜 기다림의 끝에허락된 이 우주 안에그때 다시 우연처럼너의 곁에 있을게우린 같은 시간을 향해저만치의 별도나를 향해 밝게 비춰 부른다하나엔 눈을 감고둘엔 소원을셋엔 내가 네 전부길 원해평소와 같은 느낌도너와 함께면 다를까별자리를 쫓아네게 닿으면 새롭던 운명이 번져수많은 별들을 따라밤하늘에 그린 너의 모습 기억해너에게 모든 걸 맡긴 채운명에 널 약속해우리 저 별 안에 도착할 때너를 찾아낼게오랜 기다림의 끝에허락된 이 우주 안에그때 다시 우연처럼너의 곁에 있을게가지 않을 시간 속에서너의 곁을 항상 맴돌게잠깐 너를 놓친다 해도 두 손안에 별깜빡 길을 잃는다 해도 줄곧 퍼진 선따라 밟고서 온 네 진심을 두드려그리움에 숨어 숨죽여날 숨 막히게 꼭 안아줘우리의 모든 게 바뀔 때달라져 버린 이 세상에 남겨질 때내 눈에 널 가득 새겨둘게오랜 기다림의 만남허락된 이 우주 안에 사랑다시 우연처럼 운명의 널 약속해우린 같은 시간을 향해
스카이,24시간의 신화,2001.11.15,"발라드, 록/메탈",오늘쯤 올거라 믿으며 매일 밤 기다렸어 다음을 기약도 못한 채 널 보낸 그 날부터 늦어도 올까봐 행여 꿈에라도 올까봐 입은 옷 그대로 매일 잠이 드는 날 아니 널 사랑하면 안 되니 아무것도 바라지 않았잖아 그저 보고싶은 날에 너를 보게 허락해줘 자꾸만 멀리 가지마 일생동안 나 혼자 사랑할게 너 때문에 외로워도 사랑해서 행복해 내 삶에 또 한번 살고픈 순간이 있었다면 흩날린 너의 그 옷자락손끝에 닿던 그 때하늘도 모르게 스쳤던 짧은 그 동안이너와 나 추억의 전부일지라도 감사해널 사랑하면 안 되니아무것도 바라지 않았잖아그저 보고싶은 날에 너를 보게 허락해줘자꾸만 멀리 가지마일생동안 나 혼자 사랑할게너 때문에 외로워도 사랑해서 행복해사랑한다는 한마디그 어디에 남기면 네가 아니들어야 할 넌 없는데 혼잣말은 슬프잖아너 없는 하루하루가일생보다 더 길게 느껴져도기다릴 그 누군가가 내게 있어 행복해
드림캐쳐,Chase Me,2017.01.13,록/메탈,자꾸 나만 보면 안 된대짜릿한 걸 원할 뿐인데텅 빈 사람들 꿈속은 따분하잖아Chase me어젠 간단하게 Thriller오늘은 뭘 해볼까발칙한 장난을 시작할 거야어둔 밤 몰래 다가가서꿈속에 뛰어들어난 폭죽이 막 터지듯깜짝 놀라게 Baby조용한 세상이 잔뜩 소란해질 걸막을 수 있니 막을 수 있니 BangChase me 한번 날 잡아봐 아슬아슬 거리에서 Dangerous벌써 나는 거기 없는 걸 이번엔 또 어딜 갈까Chase me 그래 날 찾아봐 아무도 멈출 수 없어날 더 잡을 수 없게 다른 꿈에 몰래 숨어들 거야Chase me Chase me뭐가 나쁜 거니 도대체본능을 난 따를 뿐인데빨간 사과를 한 입 딱 베어 물고서Uh uh 착한 아이란 게 뭔데뭔데틀에 나를 맞추려 해그저 규칙적인 심장박동 위에일곱 가지 작은 놀이를 선물해 매일기억을 모두 꺼내 들어꿈속에 가득 던져폭풍이 휘몰아치듯어지럽혀 널 Baby포근한 베개가 조금 축축해질 걸막을 수 있니 막을 수 있니 BangChase me 한번 날 잡아봐 아슬아슬 거리에서 Dangerous벌써 나는 거기 없는 걸 이번엔 또 어딜 갈까Chase me 그래 날 찾아봐 아무도 멈출 수 없어날 더 잡을 수 없게 다른 꿈에 몰래 숨어들 거야너무나 바쁜 걸 아직 갈 데가 많은 나 Chase me호기심 가득한 상상을 다 펼쳐볼 거야나를 짓궂다고 해도 또 나쁘다고 해도 잘 모르겠어 난 이런 게 바로 나인 걸 Oh oh oh oh oh날 뒤쫓는 네 모습 가까워져 오는데그렇게 쉽게 잡힐 내가 아냐Chase me 계속 날 쫓아봐 턱 끝까지 숨이 차게 Dangerous내 Trick은 매일 새로워 내일은 또 어딜 갈까Chase me 그래 날 찾아봐 아무도 멈출 수 없어날 더 잡을 수 없게다른 꿈에 몰래 숨어들 거야Chase me Chase meChase me Chase me
Stray Kids (스트레이 키즈),Hello Stranger,2020.07.16,"록/메탈, 국내드라마",두 눈이 마주친느낌이 든 순간멋대로 움직여Movin’ movin’ movin’ movin’ movin’거리가 줄수록생각은 늘어나어떤 느낌인지물음표만 가득한 내 마음주변 아무도보이지 않아 더 선명해져 가는 네 모습이모두 흐려져너만 빼고 뿌옇게 칠해진 이 거리대체 넌 누굴지 호기심만 가득해알 수 없이 끌리듯 너에게 가는 듯해돌지 않아 빙빙 무의식의 직진생각 없이 맘대로 걸어가지아 새로운 바람이 분다어디서 불어온 걸까낯설지만 차갑지만은 않아난 어느새 바람을 따라 두발이 움직여바짓 주머니 속 손을 빼고Hello Stranger 점점 끌리네끌려 끌려 끌려가까워져아무 생각 없이 너에게궁금해져 갈수록 더 더 더왜 이런 걸까 누구시길래StrangerHello Hello Hello Hello Hello나나 나나나 나나나나 나나나 나나Closer새로운 새로운 새로운 새로운 새로운Hello Stranger 누구시길래너에게는 보인다내겐 없던 모습들이 보인다허공에만 외치던소리 들을 널 향해 외쳐본다그동안엔 없었던네가 없는 동안에는 없었던이 기분과 이 감정 모든 순간느낌표로 가득 찬 내 맘주변 아무도보이지 않아 더 선명해져 가는 네 모습이모두 흐려져너만 빼고 뿌옇게 칠해진 이 거리뭔가 달라 잘은 모르겠는데다가오는 빛의 정체가 너인 듯해눈을 돌려도 잔상이 맺히고눈앞에서 사라지지 않는 넌 대체 누구시길래아 새로운 바람을 따라 두발이 움직여바짓 주머니 속 손을 빼고Hello Stranger 점점 끌리네가까워져아무 생각 없이 너에게궁금해져 갈수록 더 더 더왜 이런 걸까 누구시길래눈을 감아도 보여귀를 막아도 들려확실하지 않아도뭐가 됐든지 몰라우린 서로 향해 가가까워진다Hello Stranger 점점 끌리네끌려 끌려 끌려가까워져아무 생각 없이 너에게궁금해져 갈수록 더 더 더왜 이런 걸까 누구시길래StrangerHello Hello Hello Hello Hello나나 나나나 나나나나 나나나 나나Closer새로운 새로운 새로운 새로운 새로운Hello Stranger 누구시길래
이승기,Smile Boy (Rock Ver.),2010.06.01,록/메탈,happy in your smile 더 크게 웃어봐나는법을 잊은 것뿐야날개를 펴고 가슴을 펴고힘껏 날아올라봐내가 있잖아 영원히 함께할내게 꿈이 있잖아힘을 내봐 용길 내봐너라면 할 수 있어오 오오오 오오오오 오오오 오오오이 비가 널 젖게 만들면해가 되어 널 감쌀께어둠이 널 가린다면달이 되어 비출께세상이 뜻대로 잘 되지 않아서힘을내봐자꾸만 주저 앉고 싶을때 그럴때happy in your smile 더 크게 웃어봐나는법을 잊은 것뿐야날개를 펴고 가슴을 펴고힘껏 날아올라봐내가 있잖아 영원히 함께할내게 꿈이 있잖아힘을 내봐 용길 내봐너라면 할 수 있어오 오오오 오오오오 오오오 오오오오 오오오 오오오오 오오오 오오오happy in your smile 더 크게 웃어봐나는법을 잊은 것뿐야날개를 펴고 가슴을 펴고힘껏 날아올라봐내가 있잖아 영원히 함께할내게 꿈이 있잖아힘을 내봐 용길 내봐너라면 할 수 있어너에게 줄게 행복한 사랑을아름다운 인생을 눈부시게 빛날꺼야what a wonderful your life오 오오오 오오오오 오오오 오오오오오 오오오오 오오오오오오 오오오오 오오오 
알레프 (ALEPH),창문,2019.10.23,"인디음악, 록/메탈",이른 아침에 눈떠오늘의 날씨는 흐려비가 오면 아무것도 못 하겠지 난이런 마음을 높여하늘 빛을 겨우 닮았어애써 구름 위에 걸쳐져 있지나의 창은 굳게 닫아 두고해가 뜨면 그때 열어줄래얘는 왠지 비를 좋아하니까 말야밖에서 비를 맞게 할래슬픔을 가지런히 개어두고집 밖을 나와 걸었어먹구름이 몰려오기 전까지 말야나를 아무도 아니게 만드는나는 밖에 두고 들어왔어문을 두드려도 열어주면 안되지나의 창은 굳게 닫아 두고해가 뜨면 그때 열어줄래얘는 왠지 비를 좋아하니까 말야밖에서 비를 맞게 할래창 밖에 서성이는 내 모습 안쓰러워개어놓은 슬픔을 입으라고 던져줬네나의 창은 굳게 닫아 두고해가 뜨면 그때 열어줄래얘는 왠지 비를 좋아하니까 말야밖에서 비를 맞게 할래
홍대광,쉼표,2018.02.26,"록/메탈, 국내드라마",오늘은 왠지 너와 있고 싶어따가운 햇살은 우리를 설레게 해단출히 짐을 싸고편한 옷 갈아입고서가서 먹을 맛있는 음식 가지고이렇게 둘이서 두 손꼭 잡고서 가 봐요발길이 닿는 대로 우리 그냥 떠나요아무도 없는 그런 곳으로걱정들 내려놓고 오늘은 놀아요시원한 바람 따라 우리 그냥 떠나요흥겨운 음악 크게 틀어놓고서아무 생각 없이 하루 종일그렇게 즐겨요내일은 오늘처럼 행복했으면 해향기로운 하늘은 우리를 설레게 해단출히 짐을 싸고편한 옷 갈아입고서가서 먹을 맛있는 음식 가지고이렇게 둘이서 두 손꼭 잡고서 가 봐요발길이 닿는 대로 우리 그냥 떠나요아무도 없는 그런 곳으로걱정들 내려놓고 오늘은 놀아요시원한 바람 따라 우리 그냥 떠나요흥겨운 음악 크게 틀어놓고서아무 생각 없이 하루 종일그렇게 즐겨요때로는 우리 이렇게 쉼표를 찍어요조금 느린 걸음걸이로천천히 가 봐요발길이 닿는 대로 우리 그냥 떠나요아무도 없는 그런 곳으로걱정들 내려놓고 오늘은 놀아요시원한 바람 따라 우리 그냥 떠나요흥겨운 음악 크게 틀어놓고서아무 생각 없이 하루 종일그렇게 즐겨요
윤하 (YOUNHA),Run,2012.07.03,록/메탈,숨이 차올라 걸음을 멈출때엉켜버려 가끔숨을 멈출때잊고있던 슬픔들이 밀려와참을 틈 없어맺혀버린 눈물시간아 조금 더 빨리달아나줘 뜨거운 빛으로 얼른 날 안아줘눈부신 내일로 나를데려가줘 누구보다멀리 날 수 있게난 노래하네널 이렇게 큰소리로너의 앞에언제까지나 너와함께 하고 싶어난 원하네 널이렇게 세상에오직 한사람사랑할께 기다렸던 만큼움츠러든 어깨 다시펼치고 흐트러진 맘한번 더 잡고서불안했던 시선들을지우면 멈출 틈 없어너를 향한 고백시간아 조금 더 빨리달아나줘나를 태우고저 멀리 날아가줘눈부신 하늘까지 날데려가줘 누구보다높이 날 수 있게난 노래하네널 이렇게 큰소리로너의앞에언제까지나 너와함께 하고 싶어난 원하네 널이렇게 세상에오직 한사람사랑할께 기다렸던 만큼Cuz I love u내 모든 아픔들은 이제  Cuz I love u괜찮아 너와 함께니까 어둡고 차가운 터널끝에서 내손을 잡고고장난 기억에 주문을걸어 날 일으켜줘난 노래하네널 이렇게 큰소리로너의앞에언제까지나 너와함께 하고 싶어난 원하네 널이렇게 세상에오직 한사람사랑할께 기다렸던 만큼Cuz I love u 괜찮아 너와 함께니까  Cuz I love u
이적,그대랑,2010.09.30,록/메탈,솔직히 겁이 나요사실이 그래요앞길은 한치 앞도 모르니그대도 그런가요 마찬가진가요떨고있는 내가 우습지는 않나요그대랑 함께 갈래요꼭 끌어안고 갈래요서로에게 서로라면더할 나위가 없어요오싹한 낭떠러지도뜨거운 불구덩이도상관없어요 두렵지 않아요이제 내 손 잡아줘요아무런 말도 필요없고어느 누구도 말릴 수 없어요그대랑 하나되어 간다면우리가 우리가 되어 간다면그럼 충분해요어깨동무하고 팔짱을 엮고서떨려오는 마음을 가라앉히고서그대랑 함께 갈래요꼭 끌어안고 갈래요서로에게 서로라면더할 나위가 없어요오싹한 낭떠러지도뜨거운 불구덩이도상관없어요 두렵지 않아요이제 내 손 잡아줘요아무런 말도 필요없고어느 누구도 말릴 수 없어요그대랑 하나되어 간다면우리가 우리가 되어 간다면그럼 충분해요허풍이 될지도 몰라요흔들릴 수도 있겠죠그만큼 둘이서 되새기기로 해요지금의 마음을 처음에 있던 설렘아무런 말도 필요없고어느 누구도 말릴 수 없어요그대랑 하나되어 간다면우리가 우리가 되어 간다면그럼 충분해요 
위수 (WISUE),날씨 맑음,2021.07.31,"인디음악, 록/메탈",날씨가 제법 더워진 듯해요그대는 어디서 무얼 하는가요시간은 없고 핑계만 대고파여길 당장 떠나고 싶다면숨을 크게 쉬어봐요여기가 어딘지는 중요하지 않죠맑게 개인 날씨 그 어디쯤에우리 마음이여기 함께 있다는 게 중요해요함께 있다는 게 중요해요그대는 항상 날씨 운이 좋았죠좋지 않대도 상관은 없어요시간이 없어요 어서 일어나요여길 당장 떠나고 싶다면내 손을 잡아요 놓치지 마요어디로 가볼까요 바다도 난 좋아요도착하면 아무 생각 말고우리만 생각하기로 해요숨을 크게 쉬어봐요여기가 어딘지는 중요하지 않죠맑게 개인 날씨 그 어디쯤에우리 마음이여기 함께 있다는게 중요해요함께 있다는 게 중요해요날씨가 제법 더워진듯해요그대는 어디서 무얼 하는가요시간은 없고 핑계만 대고파여길 당장 떠나고 싶다면
스탠딩 에그,"그래, 너",2014.05.08,"인디음악, 록/메탈",나 오늘 고백할 거야 그러니까 날 좀 도와줘 머리부터 발끝까지 이상한 게 있나 좀 봐줘셔츠가 안 어울리면 니트로 바꿔 입고 올까어떻게 말하면 좋을까 네가 먼저 들어줘Just like you girl Just like you girl 정말 아직도 모르겠니 Girl Just like you girl 얼마나 더 말해야겠니첫눈에 반했다고 운명이라고 우겨볼까오랫동안 좋아했다고 그냥 솔직하게 말할까네가 그녀라면 어떻게 할 거야 모른 척 할거야 웃어 넘길 거야그래 너 지금 너 말야 더 이상은 돌려 말하기 싫어Just like you girl Just like you girl정말 아직도 모르겠니 Girl Just like you girl 얼마나 더 말해야겠니Just like you girl Just like you girl너 말고 또 누가 있겠어Girl Just like you girl 네가 아니면 안 되겠어Just like you girl Just like you girl 너 말고 또 누가 있겠어Girl Just like you girl 네가 아니면 안 되겠어Girl Just like you girl I like you girl only you girlGirl Just like you girl I like you girl only you girlGirl Just like you girl I like you girl only you girlGirl Just like you girl I like you girl only you girlGirl Just like you girl I like you girl only you girlGirl Just like you girl I like you girl only you girl
wave to earth,pueblo,2020.12.03,"인디음악, 록/메탈",Before the day I leave this townI'm gonna burn all my placesThrow away all my memories hereThen I'll go awayI'll never get lostI'm sure there's alot of fun out thereBut there's nothing leftStreets full of ruins and rubbishI walk a little longer and lie downIs there anywhere else I can goThe sun is striding down the cliffWell I can't do anythingeven the moon's right thereSo I make some fireand try to sleepWhen I woke upeverything was goneOh where should I goOh please tell me what should I doOh there's nothing leftStreets full of ruins and rubbishI walk a little longer and lie downIs there anywhere else I can goOh Lord there’s nothing leftLook now streets lackof ruins and rubbishHow long do I haveto walk down this streetIs there anywhere else I can go
이무진,비와 당신,2021.09.24,"록/메탈, 국내드라마",이젠 당신이 그립지 않죠보고 싶은 마음도 없죠사랑한 것도 잊혀 가네요조용하게알 수 없는 건 그런 내 맘이비가 오면 눈물이 나요아주 오래 전 당신 떠나던그날처럼이젠 괜찮은데 사랑 따윈 저버렸는데바보 같은 난 눈물이 날까아련해지는 빛 바랜 추억그 얼마나 사무친 건지미운 당신을 아직도 나는그리워하네이젠 괜찮은데 사랑 따윈 저버렸는데바보 같은 난 눈물이 날까다신 안 올 텐데잊지 못한 내가 싫은데언제까지나 맘은 아플까
민쇼크 MEANSHOCK,빈 하늘에 불꽃을 그린다 (feat. 별은),2022.08.25,"인디음악, 록/메탈",잠이 안와서 난 생각에 잠겨창가에 다가가 하늘을 올려봐텅 빈 밤하늘에 너와 내가 함께했던그날 추억을 또 떠올리는 나눈이 부시던 한여름의 추억그날 밤 생각에 잠을 망친 거야소란스런 마음과 저 조용한 밤하늘이너무 달라서 또 너를 찾나 봐한강 불빛 수많은 사람들그 속에서 너를 놓칠까 손을 꼭 잡았던불꽃 전에 적막이 스칠 때모두가 숨죽이고 기다리면소리가 나고 불꽃이 번쩍너와 내가 넋을 놨던 밤소리가 나고 불꽃이 번쩍네 어깨에 기대었던 밤소리가 나고 불꽃이 번쩍이제는 새하얀 연기 속에희미해져버린 여름 안에서조용한 밤에 멍하니 서서그 소리를 들어보곤 해어두운 밤에 멍하니 서서그 불꽃을 그려보곤 해기댈 곳 없는 너 없는 나는환하게 빛나는 별들 만이위로해 주는 밤하늘 아래서
트랜스픽션,너를 원해,2011.05.12,"인디음악, 록/메탈",너를 원해 모든걸  Baby I Want You 내 맘은 애가 타는걸  Baby I Need You 널 처음 본 순간 나는 느꼈어 너만이 나를 움직이는걸 Oh Baby Please Don't Go  내 곁에 있어줘 Oh 제발 Stay Stay Stay 널 원하잖아 내게로 와줘 네 맘을 열어줘 Oh Baby Please Don't Go  내 눈은 너만 바라봐  Baby I Need You 이젠 나를 받아줘  Never Ever Go Away Oh 제발 나에게 다가 오기를 널 잡은 두 손을 놓지 말아줘 Oh Baby Please Don't Go  내 곁에 있어줘 Oh 제발 Stay Stay Stay 널 원하잖아 내게로 와줘 네 맘을 열어줘 Oh Baby Please Don't Go Oh Please Don't Go Oh Please Don't Go Oh Please Don't Go 너를 원해 모든 걸  Baby I Want You 너를 원해 너를 바래 Baby I Want You 너를 바래 너를 원해 Baby I Want  You 제발 나를 받아줘  Never Ever Go Away Oh Baby Please Don't Go  내 곁에 있어줘 Oh 제발 Stay Stay Stay 널 원하잖아 내게로 와줘 네 맘을 열어줘 Oh Baby Please Don't Go Oh Baby Please Don't Go 내 곁에 있어줘Oh 제발 Stay Stay Stay 널 원하잖아내게로 와줘 네 맘을 열어줘Oh Baby Please Don't Go Oh Please Don't GoOh Please Don't GoOh Please Don't GoOh Please Don't Go
드림캐쳐,BOCA,2020.08.17,록/메탈,모든 타겟은 널 향해 있어날 없이 베이는 상처말 안 해도 알 수 있어Hold on Hold onEh oh 아무런 표정도 없이넌 이미 익숙하단 듯이I’m knockin’ door Now I’mknockin’ door벗어나지 못해 But I knowHold up I’m a geek The bigparadox쉽게 생각하면 널 지키는 Killer지옥 끝에선 다 하나같이 빌어입을 걸어 잠가 Freeze up이유 없는 시선꼬릴 무는 QuestionWoo wah ah ah ah ah죄의식은 이미그들에게 없어막을 수 없이사무치는 맘참지 못해 더나 너를 위해서먹구름에 싸인깊어지는 밤내려쳐라 ThunderDrop thunder 굳게걸어 잠글게 BOCAWhere is the love가시 같은 그 말로널 아프게 한다면열지 못하게 BOCAYeah 눈 감아 숨 막혀 넌Uh 도망쳐 먼발치 넌Uh 뒷걸음만 쳤다면거기서 변하지 변하지 않아뻔하지 뻔하지 NoUh Get the keyI’ll set you free너 이제 그만둬 숨바꼭질바짝 따라와More 더 Come on nowLock the doorLock the door막을 수 없이사무치는 맘참지 못해 더나 너를 위해서불어오는 건거친 바람과내려쳐라 ThunderDrop thunder 굳게걸어 잠글게 BOCAWhere is the love가시 같은 그 말로널 아프게 한다면열지 못하게소중한 시간들을 왜증오로 채우는가Woo wooToo many angels dying nowI’m gonna change your mind다시 숨 쉴 수 있게No wahWhere is the love가시 같은 그 말로널 아프게 한다면열지 못하게 BOCA
드림캐쳐,BEcause,2021.07.30,록/메탈,꼭꼭 다 숨기고서 잘 살았네요아직 그댄 날 잘 몰라요사람들은 착한 아인 줄 알겠지만진짜 내 모습은 잘 몰라요나를 볼 땐 웃어 줘요 웃어 줘요불 꺼진 방안엔 우리 둘뿐인걸그대 오늘도 나랑 놀면내일은 좀 더 달콤한 걸 줄게요파랗게 파랗게 질려가너의 표정은 마치Ocean view조금 더 멋지게 보여 줘 그 몸짓내가 느낄 수 있게BEcause I like youI like you두 눈에 가득 찬 별나의 세레나데천사 같은 얼굴로사랑한다 말해Because I love youForever love숨결까지 다Forever loveBecause I love youForever mine숨결까지 다Forever mineYeah첨부터 다시 A to Zmy teaching 철칙철저히 무시밀실 안에 키는 없어Now I`m 절치부심Easy come easy goBut 내 건 아니죠통증은 잠시고Every dog has his day따사롭게 나를 비춰 나를 비춰주는 네 품엔 영원히 나뿐인걸그대 오늘 또 나랑 놀면준비된 모든 선물을 다 줄래파랗게 파랗게 질려온너의 표정은 마치Ocean view대답해 줘 hurry기회는 줬어 많이So creepy그래 네 말이 맞아BEcause I like youI like you두 눈에 가득찬 별나의 세레나데천사 같은 얼굴로사랑한다 말해Because I love youForever love숨결까지 다Forever loveBecause I love youForever mine숨결까지 다Forever mine거부해도 괜찮아다른 내 목소리가대신 너를 부르니지금 모습 이대로곁에 남아 주겠니한 폭의 아름다운그림으로쏟은 물감 모두 지워 내말라 굳어버리기 전에흐른 눈물 자국 닦아죄책감까지 다 말야I don’t want to BE 悲BEcause I like youI like you두 손에 가득 찬 널-영원히 안을래천사 같은 얼굴로-사랑한다 말해Because I love you
나상현씨밴드,노래나 부를까,2023.05.15,"인디음악, 록/메탈",널 바라보던 이 순간 어느 틈에난 다른 걸 느낀걸까차가운 내 하루의 끝 어디쯤에넌 곁에 있었던 것 같아내 맘은 언제나와 같이조금은 숨죽여 있지만어딘가 따스하게 스며든 건너와 내가 있다는 걸까쉽게도 무너지는세상 밖의 우리들이지만신경쓰지마넌 슬퍼하지마이 시간만은 우리 거야노래나 부를까가사는 잘 몰라도다 같은 마음이잖아춤이나 춰볼까방법은 잘 몰라도다 신경쓰지 않잖아딱 이렇게아아아아아아아아아아깊어지는 맘우리가 써낸 말들다 잊혀지지 않잖아늘 바라왔던 그날의 풍경속엔너도 나와 함께일까하루에도 몇 번씩 떠올린대도난 알지 못했던 것 같아세상은 언제나와 같이우리를 슬프게 하지만내일을 기다리게 된다는 건너와 내가 있다는 걸까닿을 수 없는 맘을바라보는 우리들이지만신경쓰지마넌 슬퍼하지마이 시간만은 우리 거야노래나 부를까가사는 잘 몰라도다 같은 마음이잖아춤이나 춰볼까방법은 잘 몰라도다 신경쓰지 않잖아딱 이렇게아아아아아아아아아아깊어지는 맘우리가 써낸 말들다 잊혀지지 않잖아노래나 부를까가사는 잘 몰라도다 같은 마음이잖아춤이나 춰볼까방법은 잘 몰라도다 신경쓰지 않잖아딱 이렇게아아아아아아아아아아깊어지는 맘우리가 써낸 말들다 잊혀지지 않잖아
자우림,STAY WITH ME,2021.11.26,록/메탈,"내일은 너무 멀어지금 바로 여기 있어줘Stay with meRight here right now그렇잖아 약속은 그저 약속일 뿐이야입술을 스치고 가는 텅 빈 말들어떤 약속 어떤 말도 널 데려와 주지 않아내일의 넌 내일의 나와 있잖아다만 함께 있고 싶어다만 널 느끼고 싶어다만 지금 오늘 여기에나만 혼자인 건 싫어내일은 너무 멀어 지금 바로 여기 있어줘Stay with me right here by my side내일의 나 보다 더 오늘의 내가 외로우니까Stay with me right here right now내일은 너무 멀어 지금 바로 여기 있어줘Stay with me right here by my side내일의 나 보다 더 오늘의 내가 외로우니까Stay with me right here right now다만 함께 있고 싶어다만 널 느끼고 싶어다만 지금 오늘 여기에나만 혼자인 건 싫어내일은 너무 멀어 지금 바로 여기 있어줘Stay with me right here by my side내일의 나 보다 더 오늘의 내가 외로우니까Stay with me right here right now내일은 너무 멀어Stay with me right now by my side내일의 나 보다 더 오늘의 내가 외로우니까Stay with me Stay with me nowStay with me now내일은 너무 멀어 지금 바로 여기 있어줘Stay with me right here right now
"
